"","Employ","Inflation","Interest","Life_Expect","GDP","Population","Trade","Immune","Stability","CPI","Internet","Developed"
"Malaysia",1.550999999,11.09482374,7.67714206759239,74.305,12854985464,0.810273513,822.596,89,-1.619923,2.3,1.97,"0"
"Namibia",13.97000027,3.9171047698587,7.67714206759239,55.207,8704438061,1.309615607,993.253,78.9402173913043,-0.156206382065217,2.89945652173913,33.99,"0"
"New Caledonia",6.119999886,2.115651106,3.82602756,76.9804878,1.21e+11,0.999728031,25573.868,92,1.070571,9.4,79.7,"0"
"Niger",8.159999847,3.687001605,7.552296471,56.557,8298679909,1.368674269,3929.2,98,-0.3056052,2.5,7.3,"0"
"Nigeria",1.26699996,0.582906591,0.755772674,50.422,7352131669,3.809666088,2200,71,-1.15033,2.9,0.76,"0"
"Nicaragua",3.796000004,12.55496039,18.18000167,72.167,2.95e+11,2.662921245,33906.282,63,-1.995072,2.5,9.3,"0"
"Netherlands",9.152733023,-0.028039732,7.67714206759239,80.54878049,257880572219.433,0.906830276,33214.18211725,78.9402173913043,-0.156206382065217,2.89945652173913,71.9250964,"0"
"Norway",32.18000031,-0.739633963,10.8427361,80.79512195,9401731496,0.184158025,2708.488,96,-0.2992437,2.89945652173913,51.77,"0"
"Nepal",3.099999905,2.197385869,7.67714206759239,67.178,3.86e+11,1.261127289,68970.135,94,1.27541,8.6,92.08,"0"
"Oman",0.540000021,13.64776506,-5.079301224,75.44,1.68e+11,2.233335732,17523.1,52,-2.644811,2.4,7.5,"0"
"Pakistan",3.851999998,2.409053041,1.085466643,64.969,27116635565,1.776150401,10716.687,85,0.0636812,3.4,39.08,"0"
"Panama",2.121999979,6.918325326,15.74155594,76.6,11619637799,2.387682445,4394.22,64,-0.7923152,2.1,1.61,"0"
"Peru",5.460000038,2.591946734,27.98723539,74.12,22355601273,1.350321932,5079.6104,86,-0.8821292,2.1,18.9,"0"
"Philippines",3.980000019,2.936231536,18.5944908,69.667,1.21e+11,0.803219607,21813.514,93,-1.179883,3.7,31.4,"0"
"Papua New Guinea",3.859999895,4.219030521,5.672578241,61.739,1.76e+11,1.649858437,38435.80616,87,-1.727586,2.4,9,"0"
