GDP_Rate,Life_expectancy,Murder,Population_Growth,Inflation_Rate,Fuel_Exports,Agriculture_Exports,Manufacturing_Exports,Merchandise_Exports
-2.928400167,66.014,2.348582921,1.141758099,-2.29424686,34328.52558,43679.3088,156849.4834,316093.637
9.398725632,80.99512195,1.807616662,0.497381401,-0.133898166,,40882.57993,1124743.287,1201612
1.451305431,74.119,1.077529358,-0.09138305,0.634175021,7032.18499,,,3092.127
0.566491592,74.895,17.76720454,1.628632124,0.655537559,28352.47637,5586.407482,1190.166565,13863.054
-2.873313828,79.83658537,0.992583915,0.514489544,0.096624424,52940.76875,63851.44555,383100.0357,484781.161
-5.693836336,78.256,5.032640459,-0.25338341,1.7569942,35171.13599,76725.16411,963893.9695,1120040.632
7.861888833,81.40487805,2.002771335,1.410582714,6.063829304,574.239,16383.58983,113303.2154,164908.7
1.14297478,81.63658537,0.998212996,2.390207338,3.884727031,22365.26176,2047.712,44640.622,47935
-5.280937208,75.128,17.60831917,0.45561345,1.957826338,36200.095,36276.2846,339963.0896,406909.3522
-5.285744137,74.12,4.763565924,1.476755803,3.53693541,1680.972815,16558.762,171568.174,229712.337
4.243757321,80.79512195,0.600806282,1.236207263,0.146912227,1821.379701,3450.732261,8895.983576,14054.337
-1.727020309,69.667,9.833990702,1.261127289,-5.205030128,78232.69219,8203.122589,24178.71564,116778.108
1.095823659,81.47560976,0.884432076,0.803219607,2.063698334,11855.05724,4860.207838,3267.291134,26961.721
1.448323063,80.05121951,1.123691719,1.649858437,2.773246712,2237.390601,3173.99204,32786.5963,38435.80616
-3.763231927,81.41463415,1.309501514,0.885735981,0.252533821,8919.614093,38947.2089,166404.718,227338.41
-4.247356266,66.244,3.763079037,0.75639086,1.521299207,19048.86277,25523.12573,237733.1585,358158.2162
-2.599888351,78.3902439,5.02729993,0.876651299,0.759434764,50454.04252,119736.5124,724901.8555,1056043
5.397897543,74.745,1.415740207,0.979409219,6.215623149,88141.28675,13406.64584,33578.92359,57096.33
