"","Life_Expect","GDP","Population","Trade","Immune","Developed"
"75",69.567,45995032026.2993,1.994753491,430,27.1576086956522,"0"
"76",62.565,154731969.7,1.539368835,50,27.1576086956522,"0"
"77",75.32439024,570357107.1,0.202447493,352,45,"0"
"78",60.427,1479400000,2.280859548,152,14,"0"
"79",70.34439024,4043894879,3.069307788,761,34,"0"
"80",51.347,31055409443,2.348226768,4238.83344021739,27.1576086956522,"0"
"81",69.13926829,45995032026.2993,0.006777772,8730,99,"0"
"82",58.489,3492997010,1.140583261,1023.89,99,"0"
"83",54.268,1.93e+11,2.323758727,8295.3,6,"0"
"84",72.85609756,85518233451,2.339618184,13272,1,"0"
"85",53.453,1e+11,3.931169361,4238.83344021739,29,"0"
"86",59.448,3.78e+10,2.821868054,10530,13,"0"
"87",76.52146341,20670190138,1.171034967,7678,36,"0"
"88",74.26097561,45995032026.2993,1.991385694,5670,91,"0"
"89",74.35390244,4.31e+11,0.12005432,94261,27.1576086956522,"0"
"90",71.012,2979061412,1.563512409,1472.63,39,"0"
"92",76.41439024,4384685230,3.588053106,733,81,"0"
"93",66.70609756,45995032026.2993,1.093753846,4238.83344021739,27.1576086956522,"0"
"94",58.316,6854491454,3.86336143,1138.57,27.1576086956522,"0"
"95",63.26363415,41369800.05,1.348463023,4,29,"0"
"96",33.342,45995032026.2993,1.471959394,4238.83344021739,52,"0"
"97",56.266,72933350954,1.560203992,4238.83344021739,61,"0"
"98",66.54634146,25056672166,5.033373488,4238.83344021739,79,"0"
"99",70.028,45995032026.2993,1.873206267,4238.83344021739,27.1576086956522,"0"
"100",64.51249496,45995032026.2993,1.981497033,4238.83344021739,7,"0"
"101",49.386,45995032026.2993,2.223383934,4238.83344021739,27.1576086956522,"0"
"102",68.113,45995032026.2993,2.258009425,4238.83344021739,27.1576086956522,"0"
"103",46.474,45995032026.2993,0.306890036,4238.83344021739,27.1576086956522,"0"
"104",64.771,45995032026.2993,0.207245483,4238.83344021739,2,"0"
"105",68.484,434188034.2,2.763169777,50,56,"0"
"106",65.03700893,45995032026.2993,3.491557729,529,27.1576086956522,"0"
"107",68.529,45995032026.2993,3.908287604,15571,67,"0"
"108",57.319,45995032026.2993,0.576822232,4238.83344021739,27.1576086956522,"0"
"109",70.46073171,5053665797,0.294773135,4238.83344021739,27.1576086956522,"0"
"110",72.35768293,45995032026.2993,2.196749312,4238.83344021739,27.1576086956522,"0"
"111",68.78634146,4759333970,2.881153758,545,27.1576086956522,"0"
"112",74.33,1237685692,2.557959553,283,66,"0"
"113",58.339,25004557094,2.405702066,11550.1,66,"0"
"114",65.022,44781456.95,3.446561469,31,1,"0"
"115",49.26,1538980654,2.018951987,154,27.1576086956522,"0"
"116",53.998,1243469361,0.735340233,860,27.1576086956522,"0"
"117",67.031,1105495368,2.932729993,261,18,"0"
"118",61.20611879,1142393555,1.481968308,332,82,"0"
"119",68.77360976,2.64e+11,2.400447869,23307,43,"0"
"120",40.435,45995032026.2993,3.351666536,4238.83344021739,27.1576086956522,"0"
"121",73.31090244,45995032026.2993,1.982902419,4238.83344021739,27.1576086956522,"0"
"122",53.315,45995032026.2993,0.967047911,4238.83344021739,27.1576086956522,"0"
"123",73.07034146,2310099100,2.562322907,704,78,"0"
"124",57.074,45995032026.2993,1.186938495,4238.83344021739,27.1576086956522,"0"
"125",43.521,17788171722,2.420214242,2386,27.1576086956522,"0"
"126",55.486,45995032026.2993,2.403272847,801,56,"0"
"127",67.40739024,1064867669,2.173902115,465.604,5,"0"
"128",44.646,2249854740,2.17106983,1244,27.1576086956522,"0"
"129",68.461,2275583317,2.309378509,369.198,16,"0"
"130",74.15164237,1.64e+11,0.686046798,68715,96,"0"
"131",57.69,972564157,1.839457595,408,27.1576086956522,"0"
"132",66.70243902,24417617184,0.384751509,5733.62,72,"0"
"133",39.45,2448290110,2.856422001,508,23,"0"
"134",45.637,2170893039,2.875457794,455,6,"0"
"135",58.757,1.64e+11,2.709829604,20877,27.1576086956522,"0"
"136",75.93439024,45995032026.2993,1.010990922,4238.83344021739,27.1576086956522,"0"
"137",75.86902439,45995032026.2993,0.896292083,4238.83344021739,27.1576086956522,"0"
"138",47.45,63596654761,0.344079656,18217.3,27.1576086956522,"0"
"140",60.659,28100606061,3.309109934,5631,3,"0"
"141",57.206,5222421500,2.37127082,1540.09,78,"0"
"142",70.537,2498068351,2.677016815,838,32,"0"
"143",60.804,5624515873,2.829046272,600,28,"0"
"144",63.87,21649137620,2.464233418,3255,20,"0"
"145",53.276,40499645208,2.739069844,5655,54,"0"
"146",71.05121951,45995032026.2993,0.907868488,15530,96,"0"
"147",73.79746341,31977276873,0.867080703,9800,75,"0"
