"","Inflation","Interest","Life_Expect","GDP","Population","Trade","Immune","Developed"
"Nigeria",-0.775653011,0.415054764228261,45.9,3512356353,3.11725863,388,22,"0"
"Nicaragua",7.364400306,17.46624444,64.293,54035795388,2.579301117,13596,56,"0"
"Netherlands",5.089216687,0.415054764228261,76.87804878,90273908546.3461,1.174097295,7361.83569646196,58.2173913043478,"0"
"Norway",74.8979605772065,0.415054764228261,76.53731707,4699646643,-0.032305881,7361.83569646196,58.2173913043478,"0"
"Nepal",4.131033483,0.415054764228261,54.404,1.2e+11,0.344151413,27230.8,86,"0"
"Oman",9.052131553,0.415054764228261,67.18,40010423970,2.955562318,7375.89,54,"0"
"Pakistan",0.769485355,0.415054764228261,60.1,6433967000,2.107157796,340.089,86,"0"
"Panama",6.953361599,10.92868095,72.982,3219730365,2.38636603,1177,68,"0"
"Peru",37.25995618,0.415054764228261,66.165,5812114523,2.663774193,1352,67,"0"
"Papua New Guinea",12.17735221,9.8809821,56.492,50508286643,2.543416989,8117,88,"0"
"Puerto Rico",13.63057057,0.415054764228261,74.16917073,78713860217,-0.21794848,25263,89,"0"
"Korea, Dem. People's Rep.",74.8979605772065,0.415054764228261,69.896,30603919000,0.890295757,7361.83569646196,58.2173913043478,"0"
"Portugal",3.000968054,0.415054764228261,73.96585366,7360439423,3.110608023,1695,82,"0"
"Paraguay",74.8979605772065,0.415054764228261,68.545,38995454545,0.174176628,7600,96,"0"
"French Polynesia",74.8979605772065,0.415054764228261,68.704,5.17e+11,0.168018341,7361.83569646196,58.2173913043478,"0"
"Qatar",4.185763726,0.415054764228261,75.824,2550185618,0.163395745,288,84,"0"
"Romania",15.23846327,0.415054764228261,69.74121951,125766269.8,0.530900573,81,90,"0"
"Russian Federation",74.8979605772065,0.415054764228261,68.88609756,90273908546.3461,2.46101991,7361.83569646196,92,"0"
"Rwanda",2.077151335,0.415054764228261,33.413,1.18e+11,3.558341967,7361.83569646196,92,"0"
"Saudi Arabia",0.32509863,0.415054764228261,69.078,7390967035,3.004915896,1219,51,"0"
"Senegal",3.460753387,2.545503615,57.202,36144336769,3.889093607,60899.1,85,"0"
"Singapore",74.8979605772065,0.415054764228261,75.29512195,12747380650,0.439617095,7361.83569646196,58.2173913043478,"0"
"El Salvador",74.8979605772065,0.415054764228261,64,917044228,1.279077876,7361.83569646196,19,"0"
"Somalia",14.32095573,4.811415257,45.378,1.16e+11,2.393746254,23549,72,"0"
"South Sudan",74.8979605772065,0.415054764228261,43.524,90273908546.3461,-0.344632328,7361.83569646196,58.2173913043478,"0"
"Sao Tome and Principe",6.721819522,2.95231716521429,58.247,5.37e+11,0.101828843,87715,86,"0"
"Suriname",21.49525205,0.415054764228261,67.436,8032551173,1.272169144,2685.01,86,"0"
"Slovak Republic",4.267556629,2.681317942,70.93268293,579629629.6,1.630387531,7361.83569646196,89,"0"
"Slovenia",7.606099577,3.791830526,73.20487805,240366666.7,0.389635094,7361.83569646196,98,"0"
"Sweden",65.158098,0.415054764228261,77.53682927,12408647541,3.386831133,618.5,62,"0"
"Syrian Arab Republic",10.36655339,0.415054764228261,70.553,2.62e+11,0.772602676,54264,99,"0"
"Chad",5.403959092,2.95231716521429,47.019,2.66e+11,1.026873072,69681,90,"0"
"Togo",19.39686722,0.415054764228261,55.887,23904498886,2.982525146,4212,91,"0"
"Thailand",74.8979605772065,0.415054764228261,70.248,2629395852,2.567575767,7361.83569646196,58.2173913043478,"0"
"Tajikistan",35.82677165,0.415054764228261,58.824,4258743263,3.193235329,1027,78,"0"
"Turkmenistan",5.863994744,8.171716429,62.81,85343063966,1.399514422,33045.2,92,"0"
"Timor-Leste",74.8979605772065,0.415054764228261,48.492,90273908546.3461,2.619764665,7361.83569646196,58.2173913043478,"0"
"Tonga",1.015341505,0.415054764228261,68.935,1628427515,2.569431037,268,77,"0"
"Trinidad and Tobago",9.709863846,0.415054764228261,68.086,113563821.6,0.232733352,61.8598,94,"0"
"Tunisia",11.06442577,-2.267652316,68.792,5.07e+09,0.678973134,1108.78,82,"0"
"Turkiye",6.545293073,0.415054764228261,64.256,12290568182,2.236505303,5513,93,"0"
"Tanzania",60.30386913,0.415054764228261,50.206,90273908546.3461,1.84093078611957,7361.83569646196,84,"0"
"Uganda",74.8979605772065,0.415054764228261,45.853,3189539641,2.699286079,7361.83569646196,58.2173913043478,"0"
"Ukraine",74.8979605772065,-3.957209764,70.09756098,4304398866,3.466926593,288,45,"0"
"Uruguay",74.8979605772065,0.415054764228261,72.569,81393535306,0.228429531,7361.83569646196,58.2173913043478,"0"
"United States",5.60694077985714,2.95231716521429,75.21463415,50701443748,5.784264577,23544,85,"0"
"St. Vincent and the Grenadines",5.39795644,6.039749199,70.58,5.96e+12,1.12965052,7361.83569646196,90,"0"
"Venezuela, RB",112.5259056,30.09299455,70.658,9298839655,0.677457227,1693,97,"0"
"Virgin Islands (U.S.)",74.8979605772065,0.415054764228261,74.23585366,13360607918,2.92827521,7361.83569646196,58.2173913043478,"0"
"Vietnam",4.759441283,18.48034675,70.551,168879207.2,2.608519017,18.8094,76,"0"
"Vanuatu",74.8979605772065,-4.380528909,64.721,48598315565,2.403215375,7361.83569646196,63,"0"
"World",74.8979605772065,0.415054764228261,65.43323283,6471740806,2.138677878,7361.83569646196,88,"0"
"Samoa",74.8979605772065,0.415054764228261,66.281,90273908546.3461,2.850869155,7361.83569646196,58.2173913043478,"0"
"Yemen, Rep.",8.127416115,0.415054764228261,57.346,90273908546.3461,1.735760697,7361.83569646196,58.2173913043478,"0"
"South Africa",74.8979605772065,0.415054764228261,63.307,5647119229,4.549438066,7361.83569646196,84,"0"
"Zimbabwe",74.8979605772065,0.415054764228261,58.1,8783816700,2.706406982,1726,88,"0"
