GDP_Rate,Life_expectancy,Murder,Population_Growth,Inflation_Rate,Fuel_Exports,Agriculture_Exports,Manufacturing_Exports,Merchandise_Exports,Recession
-1.899751571,72.618,,0.359117938,,3354.999411,45.946409,125.412507,195,1
-4.25,62.976,,2.355192712,107.2140338,,11494.31234,8106.445781,23293,1
,33.342,,0.834453451,,17833.50207,,,10,1
,75.46341463,,1.233397255,10.77663486,6039,15359.06394,34480.2328,72726,1
5.112761091,67.26,,1.280952344,2.299815098,,4457,10612,22007,1
19.68833433,74.004,,0.50064039,-2.536947713,1345.058686,,,5406,1
5.61286412,64.089,,2.575940797,15.49144586,8016.683545,750.084848,72.797771,2451.4,1
1.069019839,74.3,,0.486055129,11.69571584,11817.124,19605.20517,73259.04249,106424,1
0.529240557,72.95039024,,0.152308489,4.175238767,496.153446,12475.87301,147376.349,176047,1
6.006203626,54.268,,2.323758727,10.82758198,134.783076,2840.702996,4935.159993,8295.3,1
,74.26097561,,1.991385694,124.6213608,5918.459465,951.136952,4576.629802,5670,1
0.844227607,74.35390244,,0.12005432,18.78722596,15855.31135,6671.986811,62578.45883,77070,1
8.525606663,67.031,,2.400447869,26.00945817,1013.19465,2150.195707,5264.16525,23307,1
-1.74343493,58.339,,2.420214242,9.470476914,,652.518,653.816976,2386,1
1.598274364,75.86902439,,0.344079656,12.87923385,10757.84377,1698.707684,5461.042555,18217.3,1
5.552041815,60.804,,2.464233418,65.33058094,1499.385883,450.077213,385.995986,3255,1
3.422208738,63.87,,2.739069844,11.70313893,914.466664,2247.626151,2492.907185,5655,1
-0.132468611,75.52853659,,0.710878011,12.35119229,,4151.392226,14239.6678,20334,1
-0.787743816,74.02682927,,0.034821732,11.5504254,1930.080338,8920.590057,67819.69442,102244,1
2.537719307,74.0097561,,0.981415437,9.336242988,23023.8404,52323.35014,155527.6261,238715,1
,67.942,,2.260406813,,17361.87543,,,401,1
,50.331,4.099397334,4.47695438,,,,,235.1,1
-3.450098685,45.306,4.099397334,3.378411204,0.300902727,3898.608,9.257,2.388,3910,1
-2.467213778,71.594,4.099397334,1.452964749,2076.793473,1287.198033,7482.066,3570.818,12353,1
3.961401727,73.468,4.099397334,1.816829615,,16961.91057,,,155.47486,1
3.5735069,76.99463415,2.205110668,1.479978016,6.118566796,58.892302,11875.32511,7097.17945,39752,1
-3.307593308,74.704,13.03016483,0.373204962,,4979.762944,58.784,92.427,216,1
-4.35,66.343,19.66480208,1.811518838,2700.44214,,9778.651552,16136.56936,31414,1
,53.595,4.099397334,3.218335816,,23413.85357,,,86,1
